route_path,menu_title,parent_group,component_file,permission,route_name,football_path,football_component,component_name,hide_in_menu,in_layout,excluded_m9,data_scope,menu_id
/financial-analysis,总体财务分析,数据分析,@/views/finance/FinancialAnalysis.vue,oa:financial-analysis:list,FinancialAnalysis,/ops/financial-analysis,ops/finance/FinancialAnalysis,FinancialAnalysis,N,Y,N,,
/funnel-analysis,漏斗分析,数据分析,@/views/analysis/FunnelAnalysis.vue,oa:funnel-analysis:list,FunnelAnalysis,/ops/funnel-analysis,ops/analysis/FunnelAnalysis,FunnelAnalysis,N,Y,N,SELF_CREATOR,6128
/metric,指标管理,数据分析,@/views/analysis/MetricManage.vue,oa:metric:list,Metric,/ops/metric,ops/analysis/MetricManage,Metric,N,Y,N,,
/metric-analysis,指标分析,数据分析,@/views/analysis/MetricAnalysis.vue,oa:metric-analysis:list,MetricAnalysis,/ops/metric-analysis,ops/analysis/MetricAnalysis,MetricAnalysis,N,Y,N,SELF_CREATOR,6130
/screen,数据大屏,数据分析,@/views/screen/DataScreenFullscreen.vue,oa:screen:view,DataScreenFullscreen,/ops/screen,ops/screen/DataScreenFullscreen,DataScreenFullscreen,N,Y,N,,
/screen-config,大屏配置,数据分析,@/views/screen/ScreenConfig.vue,oa:screen-config:list,ScreenConfig,/ops/screen-config,ops/screen/ScreenConfig,ScreenConfig,N,Y,N,,
/collect/log,采集日志,数据采集,@/views/collect/log.vue,oa:collect:log:list,CollectLog,/ops/collect/log,ops/collect/log,CollectLog,N,Y,N,,
/collect/private-domain-bridge,私域桥接,数据采集,@/views/collect/private-domain-bridge.vue,oa:collect:bridge:list,PrivateDomainBridge,/ops/collect/private-domain-bridge,ops/collect/private-domain-bridge,PrivateDomainBridge,N,Y,N,,
/collect/quality,数据质量,数据采集,@/views/collect/quality.vue,oa:collect:quality:list,CollectQuality,/ops/collect/quality,ops/collect/quality,CollectQuality,N,Y,N,,
/collect/task,采集任务,数据采集,@/views/collect/task.vue,oa:collect:task:list,CollectTask,/ops/collect/task,ops/collect/task,CollectTask,N,Y,N,,
/system-message,消息管理,系统管理(OA),@/views/system/MessageManage.vue,oa:message:list,SystemMessage,/ops/system-message,ops/system/MessageManage,SystemMessage,N,Y,N,,
/system-param,系统参数,系统管理(OA),@/views/system/ParamManage.vue,oa:param:list,SystemParam,/ops/system-param,ops/system/ParamManage,SystemParam,N,Y,N,,
/order-attribution,订单归因分析,绩效核算,@/views/performance/OrderAttribution.vue,oa:order-attribution:list,OrderAttribution,/ops/order-attribution,ops/performance/OrderAttribution,OrderAttribution,N,Y,N,,
/perf-execution,考核执行,绩效核算,@/views/performance/PerfExecution.vue,oa:perf:list,PerfExecution,/ops/perf-execution,ops/performance/PerfExecution,PerfExecution,N,Y,N,,
/perf-result,绩效结果,绩效核算,@/views/performance/PerfResult.vue,oa:perf:list,PerfResult,/ops/perf-result,ops/performance/PerfResult,PerfResult,N,Y,N,,
/perf-template,考核模板,绩效核算,@/views/performance/PerfTemplate.vue,oa:perf:list,PerfTemplate,/ops/perf-template,ops/performance/PerfTemplate,PerfTemplate,N,Y,N,,
/account-cost,账号成本管理,财务管理,@/views/finance/AccountCostManage.vue,oa:cost:list,AccountCost,/ops/account-cost,ops/finance/AccountCostManage,AccountCost,N,Y,N,MEMBER_GROUPS,6146
